Score,class
4,2
6,4
0,2
0,2
-4,1
0,2
2,1
0,2
2,3
-2,2
-4,4
0,1
-4,2
0,2
0,2
0,2
-8,3
6,2
0,3
0,2
-8,1
6,4
0,1
0,2
0,2
2,2
-2,1
-14,0
0,3
-2,2
2,2
0,3
0,2
4,2
0,2
0,2
0,2
0,3
0,2
0,2
-2,2
2,1
0,0
0,2
-8,2
4,1
2,4
0,2
0,2
0,3
0,1
0,3
-4,3
-4,2
8,3
2,0
-2,0
-4,3
4,3
4,2
0,1
0,2
0,2
-4,3
0,2
0,2
4,3
0,2
4,2
4,1
0,2
0,3
0,3
0,2
4,4
4,4
2,2
0,3
4,1
-4,2
-4,0
0,3
4,1
0,2
0,4
0,2
0,2
-4,1
0,2
6,2
-2,1
-2,1
0,2
-12,2
0,2
-20,1
0,2
0,3
4,2
0,2
-2,0
14,4
-4,1
2,2
6,2
-2,1
0,2
-2,3
0,1
0,2
0,2
4,3
-4,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,1
0,2
4,3
0,1
-4,1
0,2
6,1
4,3
2,2
0,2
0,2
0,3
2,2
0,2
0,1
2,3
0,3
0,3
4,3
-6,1
0,2
-6,2
0,3
0,3
0,2
4,3
2,2
6,4
0,2
0,2
0,2
-6,2
0,2
2,3
-2,2
2,3
4,2
0,2
-4,1
0,2
0,2
0,2
0,3
-4,2
0,1
-6,1
0,2
2,1
0,2
-4,0
0,2
0,2
-4,2
8,4
0,1
0,1
2,1
0,2
0,3
0,2
0,2
4,4
2,2
0,2
0,2
0,2
12,4
0,2
10,3
-6,1
0,2
-12,2
-4,1
0,2
0,1
4,2
-4,1
0,2
4,2
0,2
4,4
4,2
0,1
0,0
0,2
0,1
0,3
-2,0
0,2
4,4
0,2
4,3
6,3
2,3
0,2
-4,2
0,3
0,2
0,2
0,1
4,2
-2,2
0,3
0,2
6,4
2,2
-4,0
0,2
0,3
6,2
0,1
-8,2
0,2
0,2
4,2
0,0
0,2
-2,2
-8,2
0,2
8,3
0,1
0,1
0,0
0,2
0,2
0,3
0,1
0,3
-4,0
0,1
0,1
2,3
0,2
0,0
0,1
0,2
-2,1
2,2
0,2
4,3
-2,1
4,4
0,2
0,2
-4,2
0,1
0,2
0,2
0,2
0,3
-2,3
4,3
-2,2
0,2
-2,1
0,2
0,2
10,2
0,3
0,2
0,2
8,3
-4,0
-2,2
-4,4
0,2
0,2
0,2
4,2
-2,0
-4,3
0,2
8,3
2,0
0,2
0,2
4,3
0,2
0,2
2,2
4,0
0,2
0,2
-10,2
0,2
0,2
0,0
0,3
2,4
-2,2
-2,1
0,2
2,3
0,2
-4,1
8,2
8,3
0,2
0,2
4,3
4,2
2,4
0,2
4,2
0,4
4,3
-8,2
-4,1
2,2
-4,3
-10,0
0,2
10,3
0,2
0,2
0,2
0,2
0,2
0,1
0,0
4,4
0,1
0,3
-4,2
-2,2
4,4
8,3
-4,0
0,2
-2,2
4,2
0,2
2,2
4,4
0,2
-4,2
2,3
0,4
0,2
0,2
0,1
0,1
8,2
0,2
0,2
-6,0
0,1
0,2
4,3
0,2
0,2
0,2
-4,2
6,4
0,1
4,3
0,2
2,4
0,2
-4,3
10,4
4,2
0,3
6,2
4,2
0,1
-4,2
0,0
0,2
0,2
-4,1
-8,1
12,4
0,2
4,4
4,3
-4,2
8,4
0,2
2,1
-8,2
0,2
0,2
8,3
0,2
-8,0
4,4
2,3
2,2
-4,2
4,3
0,2
-2,1
2,3
0,2
4,2
4,2
0,1
4,0
6,4
0,3
2,2
0,2
0,2
0,1
4,2
4,2
0,2
4,3
0,3
2,1
4,2
4,4
6,4
0,1
0,2
0,2
0,2
12,3
0,1
8,3
0,2
-4,1
4,2
-8,0
4,2
0,2
0,3
4,2
8,3
2,3
0,2
-2,1
0,2
0,1
-4,1
0,2
-4,2
0,3
2,2
2,3
-4,2
0,2
-2,3
0,2
2,3
4,3
4,2
0,3
0,3
0,2
2,2
6,3
0,2
4,4
2,2
4,2
0,1
0,1
0,2
0,2
-4,0
-2,2
0,2
0,2
0,2
0,1
2,3
-4,1
0,2
2,3
0,3
2,2
0,2
0,2
4,4
4,2
0,1
0,2
6,3
0,4
4,4
0,2
0,2
0,2
-4,2
0,1
0,2
0,2
0,1
-4,1
-2,1
0,2
0,2
-4,1
0,3
0,2
-6,1
2,3
10,2
4,1
4,2
-2,2
-4,2
2,1
4,2
4,1
0,2
0,2
0,1
0,1
4,3
-4,2
4,3
-4,1
0,2
0,2
0,3
4,2
0,2
0,2
0,1
0,2
2,3
0,2
6,3
-4,1
0,3
0,1
0,2
0,2
-2,2
0,2
10,4
4,2
0,1
0,1
0,3
0,2
0,3
-4,2
0,1
0,2
0,2
-4,2
